platform,video_id,video_title,author,text,likes,replies,time,parent_rpid,matched_patterns
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,御火天灵,月薪八万不如找个工作了,7,0,2026-09-14T06:23:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,QQLLZZ66,日元相比之前是贬值不少了。现在八万日元，差不多三千五？三千五一个月，还是发达国家，你这是当学徒呢？你就是实习也得三千五，四千五的,6,0,2026-09-14T07:03:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,月の裏側の猫,就算是底薪也不可能这么低，收银员月薪都30个,5,0,2026-09-14T10:15:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,rollingdown111,Meiy来cn的话绝对有人要吧  前提是会说英语,5,12,2026-09-14T06:29:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,乐凡芙克,日本最终兵器来5fw也得打个箭[汤圆],3,0,2026-09-14T06:47:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,雪之下雪乃的雪乃,我怎么感觉k哥死斗比ddy准啊,2,0,2026-09-14T09:29:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,玉米红萝卜排骨汤-,三千多在国内生活都很拮据，在日本感觉更是活不下去,2,2,2026-09-14T07:08:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,腾飞雪绒,meiy月薪四千就和ddy月入四千一样离谱,1,0,2026-09-14T09:04:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,天空诉说,后面加俩零我都觉得正常,0,0,2026-09-14T09:49:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,隐约有浪声,四千块，那直接找来打全国大赛得了，把队里那个没用的外援换了[汤圆],0,0,2026-09-14T12:27:00+08:00,,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,夏太太太太,那要踢谁[汤圆],5,0,2026-09-14T06:28:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,dnno大笨蛋,回复 @夏太太太太 :谁占外援名额踢谁[汤圆],184,0,2026-09-14T06:30:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,麻衣奈绪雪乃崛北,回复 @夏太太太太 : tJP入,4,0,2026-09-14T06:30:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,RRRRenk,回复 @dnno大笨蛋 :别带我bo518 瞄准教父节奏[doge],17,0,2026-09-14T06:36:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,-流年灬未亡-,明年双外援,1,0,2026-09-14T06:38:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,tobeborntolove,回复 @dnno大笨蛋 :明年双外援了[汤圆],5,0,2026-09-14T06:47:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,高松绿,三职业带不动两个灶台，现在还要四带一吗[汤圆],66,0,2026-09-14T06:55:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,R0xyy_,这个打全国大赛真是炸鱼玩[汤圆]打不过prx和t1还炸不动cn全国大赛？,25,0,2026-09-14T07:04:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,R0xyy_,回复 @夏太太太太 : 把笨奶踢了，四pro➕🚬神，护航队来了,1,0,2026-09-14T07:04:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,夏太太太太,回复 @R0xyy_ :23＞18,2,0,2026-09-14T07:13:00+08:00,313929768945,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,听月白,1保4,19,0,2026-09-14T06:23:00+08:00,317420659728,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,未完的星月赞美诗,哪个最终兵器来了也得 听我说听我说帮我打箭 啊,37,0,2026-09-14T06:27:00+08:00,317420659728,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,叹姻缘婉转,回复 @未完的星月赞美诗 :有这个外援了 还要严格干嘛,0,0,2026-09-14T16:51:00+08:00,317420659728,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,夏太太太太,再不来了[笑哭],9,0,2026-09-14T06:28:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,yyyy1ove_u,再看看吧,5,0,2026-09-14T06:29:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,风清影-,再看看吧,0,0,2026-09-14T06:32:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,树袋守夜熊,再看看吧,0,0,2026-09-14T06:46:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,JokerYell,再看看吧,0,0,2026-09-14T07:27:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,谷马由希,不来了[笑哭],2,0,2026-09-14T07:58:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,gcxs,可是彦k双排也无法永恒,0,0,2026-09-14T08:33:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Dear_Mr_Cognitio,不来了[笑哭],0,0,2026-09-14T09:56:00+08:00,313929662689,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Kbr溴化钾,再看看吧,1,0,2026-09-14T06:57:00+08:00,317420631296,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,evesjx,假的，拳头规定年薪最低太平洋最低工资标准差不多 40 万人民币一年，他在日本估计拿的还不是最低工资,65,0,2026-09-14T08:06:00+08:00,313936493217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,YeZyzy,回复 @evesjx :他绝对的顶薪，而且他开播的热度也是日本前十,33,0,2026-09-14T08:10:00+08:00,313936493217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,公大胸无义女,回复 @evesjx :他开播收收米一天几十个四千,5,0,2026-09-14T08:18:00+08:00,313936493217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,竖琴海豹大王,回复 @evesjx :日本第一人在太平洋都算工资高的了,0,0,2026-09-14T08:31:00+08:00,313936493217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,老年常青树,其实是他自己打嘴炮说的8万（）,0,0,2026-09-14T21:19:00+08:00,313936493217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,ZeldaBest,meiy这个级别8w基础工资都有点少了吧,40,0,2026-09-14T07:12:00+08:00,313931676561,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,Tomorio,回复 @ZeldaBest :大概率是避税呗，低工资高奖金或者有干脆是分红,7,0,2026-09-14T08:23:00+08:00,313931676561,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,不太多-,不可能的兄弟，这基础工资相当于比东京最低薪资还要低得多,1,0,2026-09-14T10:15:00+08:00,313931676561,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,桜野かれみ,基础薪资8w日元也太nm少了吧,0,0,2026-09-14T20:14:00+08:00,313931676561,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,狗儿天帝,yu大姐的烟钱,5,0,2026-09-14T06:45:00+08:00,313929738657,
